date_sold,bedrooms,bathrooms,m2_living,m2_total,floors,waterfront,view,condition,grade,m2_above,m2_basement,yr_built,yr_renovated,zipcode,lat,long,m2_living15,m2_total15,price,yr_built_bins,renovated,basement_cat,month,year
13/10/2014,3,1,109.62,524.9,1,False,0,3,3,109.62,,1955,0,98178,47.5112,-122.257,124.49,524.9,221900,1947-1965,True,no_basement,10,2014
09/12/2014,3,3,238.76,672.8,2,False,0,3,3,201.6,37.16,1951,1991,98125,47.721,-122.319,157.0,709.68,538000,1947-1965,True,small,9,2014
25/02/2015,2,1,71.53,929.02,1,False,0,3,2,71.53,,1933,0,98028,47.7379,-122.233,252.69,748.98,180000,1900-1947,True,no_basement,2,2015
09/12/2014,4,3,182.09,464.51,1,False,0,5,3,97.55,84.54,1965,0,98136,47.5208,-122.393,126.35,464.51,604000,1947-1965,True,large,9,2014
18/02/2015,3,2,156.08,750.65,1,False,0,3,3,156.08,,1987,0,98074,47.6168,-122.045,167.22,697.05,510000,1983-2001,True,no_basement,2,2015
12/05/2014,4,5,503.53,9469.53,1,False,0,3,5,361.39,142.14,2001,0,98053,47.6561,-122.005,442.21,9469.53,1230000,1983-2001,True,large,12,2014
27/06/2014,3,3,159.33,633.5,2,False,0,3,3,159.33,,1995,0,98003,47.3097,-122.327,207.92,633.5,257500,1983-2001,True,no_basement,6,2014
15/01/2015,3,2,98.48,902.17,1,False,0,3,3,98.48,,1963,0,98198,47.4095,-122.315,153.29,902.17,291850,1947-1965,True,no_basement,1,2015
15/04/2015,3,1,165.37,693.98,1,False,0,3,3,97.55,67.82,1960,0,98146,47.5123,-122.337,165.37,753.72,229500,1947-1965,True,medium,4,2015
12/03/2015,3,3,175.59,609.44,2,False,0,3,3,175.59,,2003,0,98038,47.3684,-122.031,222.04,703.27,323000,2001-2015,True,no_basement,12,2015
03/04/2015,3,3,330.73,910.07,1,False,0,3,3,172.8,157.93,1965,0,98007,47.6007,-122.145,205.31,829.15,662500,1947-1965,True,large,3,2015
27/05/2014,2,1,107.77,557.41,1,False,0,4,3,79.9,27.87,1942,0,98115,47.69,-122.292,123.56,557.41,468000,1900-1947,True,small,5,2014
28/05/2014,3,1,132.85,1848.85,2,False,0,4,3,132.85,,1927,0,98028,47.7558,-122.229,165.37,1179.58,310000,1900-1947,True,no_basement,5,2014
07/10/2014,3,2,127.28,899.29,1,False,0,4,3,127.28,,1977,0,98074,47.6127,-122.045,127.28,948.35,400000,1965-1983,True,no_basement,7,2014
12/03/2015,5,2,168.15,450.58,2,False,0,3,3,168.15,,1900,0,98107,47.67,-122.394,126.35,450.58,530000,1900-1947,True,no_basement,12,2015
24/01/2015,4,3,274.06,464.51,2,False,3,3,4,183.95,90.12,1979,0,98126,47.5714,-122.375,198.81,371.61,650000,1965-1983,True,large,1,2015
31/07/2014,3,2,175.59,1304.35,2,False,0,3,3,175.59,,1994,0,98019,47.7277,-121.962,175.59,1302.3,395000,1983-2001,True,no_basement,7,2014
29/05/2014,4,1,148.64,399.48,2,False,0,4,3,148.64,,1916,0,98103,47.6648,-122.343,149.57,399.48,485000,1900-1947,True,no_basement,5,2014
05/12/2014,2,1,111.48,915.09,1,False,0,4,3,111.48,,1921,0,98002,47.3089,-122.21,98.48,473.34,189000,1900-1947,True,no_basement,5,2014
24/04/2015,3,1,116.13,908.03,1,False,0,4,3,116.13,,1969,0,98003,47.3343,-122.306,118.91,822.19,230000,1965-1983,True,no_basement,4,2015
14/05/2014,4,2,150.5,462.65,1,False,0,4,3,79.9,70.61,1947,0,98133,47.7025,-122.341,130.06,462.65,385000,1900-1947,True,medium,5,2014
26/08/2014,3,3,283.35,4168.25,1,False,4,3,4,216.46,66.89,1968,0,98040,47.5316,-122.233,381.83,1889.26,2000000,1965-1983,True,medium,8,2014
03/07/2014,5,3,210.89,585.28,2,False,0,3,3,210.89,,1995,0,98092,47.3266,-122.169,208.1,650.78,285000,1983-2001,True,no_basement,3,2014
16/05/2014,2,2,99.41,895.86,1,False,0,3,3,99.41,,1985,0,98030,47.3533,-122.166,113.34,779.08,252700,1983-2001,True,no_basement,5,2014
20/11/2014,3,3,227.61,603.86,2,False,0,4,3,227.61,,1985,0,98030,47.3739,-122.172,204.38,637.77,329000,1983-2001,True,no_basement,11,2014
03/11/2014,3,2,158.86,436.36,2,False,0,5,2,158.86,,1941,0,98002,47.3048,-122.218,95.69,437.11,233000,1900-1947,True,no_basement,3,2014
26/06/2014,3,2,227.61,250.0,2,False,0,3,3,162.58,65.03,1915,0,98119,47.6386,-122.36,163.51,331.94,937000,1900-1947,True,medium,6,2014
01/12/2014,3,1,130.06,146.88,2,False,0,5,3,130.06,,1909,0,98112,47.6221,-122.314,172.8,358.7,667000,1900-1947,True,no_basement,1,2014
24/06/2014,3,2,141.21,592.72,1,False,0,3,3,73.39,67.82,1948,0,98115,47.695,-122.304,141.21,579.25,438000,1947-1965,True,medium,6,2014
02/03/2015,4,3,238.76,666.39,2,False,0,3,3,238.76,,2005,0,98052,47.7073,-122.11,244.33,559.83,719000,2001-2015,True,no_basement,2,2015
10/11/2014,3,3,215.53,369.75,2,False,0,3,3,215.53,,2003,0,98027,47.5391,-122.07,239.69,369.75,580500,2001-2015,True,no_basement,10,2014
01/12/2014,2,2,110.55,117.52,3,False,0,3,3,110.55,,2005,0,98133,47.7274,-122.357,129.13,163.14,280000,2001-2015,True,no_basement,1,2014
24/06/2014,4,2,216.46,464.51,2,False,0,4,3,140.28,76.18,1929,0,98117,47.6823,-122.368,135.64,464.51,687500,1900-1947,True,medium,6,2014
10/11/2014,3,1,101.26,278.71,2,False,0,4,3,101.26,,1929,0,98117,47.6889,-122.375,145.86,471.94,535000,1900-1947,True,no_basement,10,2014
