id,date_sold,bedrooms,bathrooms,m2_living,m2_total,floors,waterfront,view,condition,grade,m2_above,m2_basement,yr_built,yr_renovated,zipcode,lat,long,m2_living15,m2_total15,price
7129300520,13/10/2014,3,1,109.62,524.9,1,0,0,3,7,109.62,0.0,1955,0,98178,47.5112,-122.257,124.49,524.9,221900
6414100192,09/12/2014,3,3,238.76,672.8,2,0,0,3,7,201.6,37.16,1951,1991,98125,47.721,-122.319,157.0,709.68,538000
5631500400,25/02/2015,2,1,71.53,929.02,1,0,0,3,6,71.53,0.0,1933,0,98028,47.7379,-122.233,252.69,748.98,180000
2487200875,09/12/2014,4,3,182.09,464.51,1,0,0,5,7,97.55,84.54,1965,0,98136,47.5208,-122.393,126.35,464.51,604000
1954400510,18/02/2015,3,2,156.08,750.65,1,0,0,3,8,156.08,0.0,1987,0,98074,47.6168,-122.045,167.22,697.05,510000
7237550310,12/05/2014,4,5,503.53,9469.53,1,0,0,3,11,361.39,142.14,2001,0,98053,47.6561,-122.005,442.21,9469.53,1230000
1321400060,27/06/2014,3,3,159.33,633.5,2,0,0,3,7,159.33,0.0,1995,0,98003,47.3097,-122.327,207.92,633.5,257500
2008000270,15/01/2015,3,2,98.48,902.17,1,0,0,3,7,98.48,0.0,1963,0,98198,47.4095,-122.315,153.29,902.17,291850
2414600126,15/04/2015,3,1,165.37,693.98,1,0,0,3,7,97.55,67.82,1960,0,98146,47.5123,-122.337,165.37,753.72,229500
3793500160,12/03/2015,3,3,175.59,609.44,2,0,0,3,7,175.59,0.0,2003,0,98038,47.3684,-122.031,222.04,703.27,323000
1736800520,03/04/2015,3,3,330.73,910.07,1,0,0,3,8,172.8,157.93,1965,0,98007,47.6007,-122.145,205.31,829.15,662500
9212900260,27/05/2014,2,1,107.77,557.41,1,0,0,4,7,79.9,27.87,1942,0,98115,47.69,-122.292,123.56,557.41,468000
114101516,28/05/2014,3,1,132.85,1848.85,2,0,0,4,7,132.85,0.0,1927,0,98028,47.7558,-122.229,165.37,1179.58,310000
6054650070,07/10/2014,3,2,127.28,899.29,1,0,0,4,7,127.28,0.0,1977,0,98074,47.6127,-122.045,127.28,948.35,400000
1175000570,12/03/2015,5,2,168.15,450.58,2,0,0,3,7,168.15,0.0,1900,0,98107,47.67,-122.394,126.35,450.58,530000
9297300055,24/01/2015,4,3,274.06,464.51,2,0,3,3,9,183.95,90.12,1979,0,98126,47.5714,-122.375,198.81,371.61,650000
1875500060,31/07/2014,3,2,175.59,1304.35,2,0,0,3,7,175.59,0.0,1994,0,98019,47.7277,-121.962,175.59,1302.3,395000
6865200140,29/05/2014,4,1,148.64,399.48,2,0,0,4,7,148.64,0.0,1916,0,98103,47.6648,-122.343,149.57,399.48,485000
16000397,05/12/2014,2,1,111.48,915.09,1,0,0,4,7,111.48,0.0,1921,0,98002,47.3089,-122.21,98.48,473.34,189000
7983200060,24/04/2015,3,1,116.13,908.03,1,0,0,4,7,116.13,0.0,1969,0,98003,47.3343,-122.306,118.91,822.19,230000
6300500875,14/05/2014,4,2,150.5,462.65,1,0,0,4,7,79.9,70.61,1947,0,98133,47.7025,-122.341,130.06,462.65,385000
2524049179,26/08/2014,3,3,283.35,4168.25,1,0,4,3,9,216.46,66.89,1968,0,98040,47.5316,-122.233,381.83,1889.26,2000000
7137970340,03/07/2014,5,3,210.89,585.28,2,0,0,3,8,210.89,0.0,1995,0,98092,47.3266,-122.169,208.1,650.78,285000
8091400200,16/05/2014,2,2,99.41,895.86,1,0,0,3,7,99.41,0.0,1985,0,98030,47.3533,-122.166,113.34,779.08,252700
3814700200,20/11/2014,3,3,227.61,603.86,2,0,0,4,8,227.61,0.0,1985,0,98030,47.3739,-122.172,204.38,637.77,329000
1202000200,03/11/2014,3,2,158.86,436.36,2,0,0,5,6,158.86,0.0,1941,0,98002,47.3048,-122.218,95.69,437.11,233000
1794500383,26/06/2014,3,2,227.61,250.0,2,0,0,3,8,162.58,65.03,1915,0,98119,47.6386,-122.36,163.51,331.94,937000
3303700376,01/12/2014,3,1,130.06,146.88,2,0,0,5,8,130.06,0.0,1909,0,98112,47.6221,-122.314,172.8,358.7,667000
5101402488,24/06/2014,3,2,141.21,592.72,1,0,0,3,7,73.39,67.82,1948,0,98115,47.695,-122.304,141.21,579.25,438000
1873100390,02/03/2015,4,3,238.76,666.39,2,0,0,3,8,238.76,0.0,2005,0,98052,47.7073,-122.11,244.33,559.83,719000
8562750320,10/11/2014,3,3,215.53,369.75,2,0,0,3,8,215.53,0.0,2003,0,98027,47.5391,-122.07,239.69,369.75,580500
2426039314,01/12/2014,2,2,110.55,117.52,3,0,0,3,7,110.55,0.0,2005,0,98133,47.7274,-122.357,129.13,163.14,280000
461000390,24/06/2014,4,2,216.46,464.51,2,0,0,4,7,140.28,76.18,1929,0,98117,47.6823,-122.368,135.64,464.51,687500
7589200193,10/11/2014,3,1,101.26,278.71,2,0,0,4,8,101.26,0.0,1929,0,98117,47.6889,-122.375,145.86,471.94,535000
7955080270,03/12/2014,4,3,191.38,618.64,1,0,0,3,7,118.91,72.46,1981,0,98058,47.4276,-122.157,187.66,810.11,322500
9547205180,13/06/2014,3,3,213.68,284.28,2,0,0,3,8,140.28,73.39,1930,2002,98115,47.6827,-122.31,147.71,303.23,696000
9435300030,28/05/2014,4,1,154.22,3237.46,1,0,0,1,5,86.4,67.82,1933,0,98052,47.6621,-122.132,200.67,1065.31,550000
2768000400,30/12/2014,4,2,219.25,557.41,2,0,0,4,8,219.25,0.0,1904,0,98107,47.6702,-122.362,160.72,436.64,640000
7895500070,13/02/2015,4,1,113.34,750.19,1,0,0,2,7,82.68,30.66,1969,0,98001,47.3341,-122.282,119.84,724.64,240000
2078500320,20/06/2014,4,3,243.4,701.69,2,0,0,3,8,243.4,0.0,1996,0,98056,47.5301,-122.18,243.4,1104.05,605000
5547700270,15/07/2014,4,3,238.76,512.82,2,0,0,3,9,238.76,0.0,2000,0,98074,47.6145,-122.027,229.47,526.66,625000
7766200013,11/08/2014,4,3,392.05,2246.93,1,0,0,3,8,241.55,150.5,1984,0,98166,47.445,-122.347,223.89,2844.39,775000
7203220400,07/07/2014,5,3,333.98,523.88,2,0,0,3,9,333.98,0.0,2014,0,98053,47.6848,-122.016,336.77,523.88,861990
9270200160,28/10/2014,3,1,145.86,211.82,2,0,0,3,7,145.86,0.0,1922,0,98119,47.6413,-122.364,146.79,245.26,685000
1432701230,29/07/2014,3,1,118.91,897.06,1,0,0,4,6,85.47,33.44,1959,0,98058,47.4485,-122.175,124.49,818.28,309000
8035350320,18/07/2014,3,3,293.57,1263.75,2,0,0,3,8,293.57,0.0,2003,0,98019,47.7443,-121.977,283.35,857.67,488000
